animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legsnumeric,tail,domestic,catsize,type
Maulwurf,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,mammal
Mungo,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,mammal
Motte,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,insect
Molch,false,false,true,false,false,true,true,true,true,true,false,false,4,true,false,false,amphibian
Krake,false,false,true,false,false,true,true,false,false,false,false,false,8,false,false,true,invertebrate
Beutelratte,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,mammal
Säbelantilope,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,mammal
Strauss,false,true,true,false,false,false,false,false,true,true,false,false,2,true,false,true,bird
Papagei,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,bird
Pinuguin,false,true,true,false,false,true,true,false,true,true,false,false,2,true,false,true,bird
Fasan,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,bird
Hecht,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,fish
Piranha,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,fish
Gruben-Otter,false,false,true,false,false,false,true,true,true,true,true,false,0,true,false,false,reptile
Schnabeltier,true,false,true,true,false,true,true,false,true,true,false,false,4,true,false,true,mammal
Skunk,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,mammal
Pony,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,mammal
Schweinswal,false,false,false,true,false,true,true,true,true,true,false,true,0,true,false,true,mammal
Puma,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,mammal
Katze,true,false,false,true,false,false,true,true,true,true,false,false,4,true,true,true,mammal
Waschbär,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,mammal
Rentier,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,mammal
Nandu,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,true,bird
Skorpion,false,false,false,false,false,false,true,false,false,true,true,false,8,true,false,false,invertebrate
Seepferdchen,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,fish
Seehund,true,false,false,true,false,true,true,true,true,true,false,true,0,false,false,true,mammal
Seelöwe,true,false,false,true,false,true,true,true,true,true,false,true,2,true,false,true,mammal
Seeschlange,false,false,false,false,false,true,true,true,true,false,true,false,0,true,false,false,reptile
Seewespe,false,false,true,false,false,true,true,false,false,false,true,false,0,false,false,false,invertebrate
Libelle,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,bird
Skua,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,bird
Blindschleiche,false,false,true,false,false,false,true,true,true,true,false,false,0,true,false,false,reptile
Schnecke,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,invertebrate
Seezunge,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,fish
Spatz,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,bird
Eichhörnchen,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,false,mammal
Seestern,false,false,true,false,false,true,true,false,false,false,false,false,5,false,false,false,invertebrate
Stachelrochen,false,false,true,false,false,true,true,true,true,false,true,true,0,true,false,true,fish
Schwan,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,true,bird
Termite,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,insect
Kröte,false,false,true,false,false,true,false,true,true,true,false,false,4,false,false,false,amphibian
Schildkröte,false,false,true,false,false,false,false,false,true,true,false,false,4,true,false,true,reptile
Brückenechse,false,false,true,false,false,false,true,true,true,true,false,false,4,true,false,false,reptile
Thunfisch,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,fish
Fledermaus,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,mammal
Wühlmaus,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,mammal
Geier,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,true,bird
Känguruh,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,true,mammal
Wespe,true,false,true,false,true,false,false,false,false,true,true,false,6,false,false,false,insect
Wolf,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,mammal
Wurm,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,invertebrate
Zaunkönig,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,bird
